ID	HEX	名称	文名称	英文名称	版本存在
443	01BB	对战搜寻器	バトルサーチャー	Vs. Seeker	#N/A
444	01BC	代币盒	コインケース	Coin Case	#N/A
445	01BD	破旧钓竿	ボロのつりざお	Old Rod	#N/A
446	01BE	好钓竿	いいつりざお	Good Rod	#N/A
447	01BF	厉害钓竿	すごいつりざお	Super Rod	#N/A
448	01C0	可达鸭喷壶	コダックじょうろ	Sprayduck	#N/A
449	01C1	宝芬盒	ポフィンケース	Poffin Case	#N/A
450	01C2	自行车	じてんしゃ	Bike	#N/A
451	01C3	房间钥匙	ルームキー	Suite Key	#N/A
452	01C4	大木的信	オーキドのてがみ	Oak’s Letter	#N/A
453	01C5	新月之羽	みかづきのはね	Lunar Feather	#N/A
454	01C6	会员卡	メンバーズカード	Member Card	#N/A
455	01C7	天界之笛	てんかいのふえ	Azure Flute	#N/A
456	01C8	船票	ふねのチケット	S.S. Ticket	#N/A
457	01C9	华丽大赛参加证	コンテストパス	Contest Pass	#N/A
458	01CA	火山镇石	かざんのおきいし	Magma Stone	#N/A
459	01CB	包裹	おとどけもの	Parcel	#N/A
460	01CC	兑换券１	ひきかえけん１	Coupon 1	#N/A
461	01CD	兑换券２	ひきかえけん２	Coupon 2	#N/A
462	01CE	兑换券３	ひきかえけん３	Coupon 3	#N/A
463	01CF	仓库钥匙	そうこのカギ	Storage Key	#N/A
464	01D0	秘传之药	ひでんのくすり	Secret Medicine	#N/A
465	01D1	对战记录器	バトルレコーダー	Vs. Recorder	#N/A
466	01D2	葛拉西蒂亚花	グラシデアのはな	Gracidea	TRUE
467	01D3	秘密钥匙	ひみつのカギ	Secret Key	#N/A
468	01D4	球果盒	ぼんぐりケース	Apricorn Box	#N/A
469	01D5	未知图腾笔记	アンノーンノート	Unown Report	#N/A
470	01D6	树果种植盆	きのみプランター	Berry Pots	#N/A
471	01D7	探宝器	ダウジングマシン	Dowsing Machine	#N/A
472	01D8	蓝卡	ブルーカード	Blue Card	#N/A
473	01D9	美味尾巴	おいしいシッポ	Slowpoke Tail	#N/A
474	01DA	透明铃铛	とうめいなスズ	Clear Bell	#N/A
475	01DB	钥匙卡	カードキー	Card Key	#N/A
476	01DC	地下钥匙	ちかのかぎ	Basement Key	#N/A
477	01DD	杰尼龟喷壶	ゼニガメじょうろ	Squirt Bottle	#N/A
478	01DE	红色鳞片	あかいウロコ	Red Scale	#N/A
479	01DF	遗失物	おとしもの	Lost Item	#N/A
480	01E0	磁浮列车自由票	リニアパス	Pass	#N/A
481	01E1	机械零件	きかいのぶひん	Machine Part	#N/A
482	01E2	银色之羽	ぎんいろのはね	Silver Feather	#N/A
483	01E3	虹色之羽	にじいろのはね	Rainbow Feather	#N/A
484	01E4	神奇蛋	ふしぎなタマゴ	Mystery Egg	#N/A
485	01E5	红球果	あかぼんぐり	Red Apricorn	TRUE
486	01E6	蓝球果	あおぼんぐり	Blue Apricorn	TRUE
487	01E7	黄球果	きぼんぐり	Yellow Apricorn	TRUE
488	01E8	绿球果	みどぼんぐり	Green Apricorn	TRUE
489	01E9	粉球果	ももぼんぐり	Pink Apricorn	TRUE
490	01EA	白球果	しろぼんぐり	White Apricorn	TRUE
491	01EB	黑球果	くろぼんぐり	Black Apricorn	TRUE
492	01EC	速度球	スピードボール	Fast Ball	TRUE
493	01ED	等级球	レベルボール	Level Ball	TRUE
494	01EE	诱饵球	ルアーボール	Lure Ball	TRUE
495	01EF	沉重球	ヘビーボール	Heavy Ball	TRUE
496	01F0	甜蜜球	ラブラブボール	Love Ball	TRUE
497	01F1	友友球	フレンドボール	Friend Ball	TRUE
498	01F2	月亮球	ムーンボール	Moon Ball	TRUE
499	01F3	竞赛球	コンペボール	Sport Ball	TRUE
500	01F4	公园球	パークボール	Park Ball	TRUE
501	01F5	相册	フォトアルバム	Photo Album	#N/A
502	01F6	ＧＢ播放器	ＧＢプレイヤー	GB Sounds	#N/A
503	01F7	海声铃铛	うみなりのスズ	Tidal Bell	#N/A
504	01F8	愤怒馒头	いかりまんじゅう	Rage Candy Bar	#N/A
505	01F9	数据卡０１	データカード０１	Data Card 01	#N/A
506	01FA	数据卡０２	データカード０２	Data Card 02	#N/A
507	01FB	数据卡０３	データカード０３	Data Card 03	#N/A
508	01FC	数据卡０４	データカード０４	Data Card 04	#N/A
509	01FD	数据卡０５	データカード０５	Data Card 05	#N/A
510	01FE	数据卡０６	データカード０６	Data Card 06	#N/A
511	01FF	数据卡０７	データカード０７	Data Card 07	#N/A
512	0200	数据卡０８	データカード０８	Data Card 08	#N/A
513	0201	数据卡０９	データカード０９	Data Card 09	#N/A
514	0202	数据卡１０	データカード１０	Data Card 10	#N/A
515	0203	数据卡１１	データカード１１	Data Card 11	#N/A
516	0204	数据卡１２	データカード１２	Data Card 12	#N/A
517	0205	数据卡１３	データカード１３	Data Card 13	#N/A
518	0206	数据卡１４	データカード１４	Data Card 14	#N/A
519	0207	数据卡１５	データカード１５	Data Card 15	#N/A
520	0208	数据卡１６	データカード１６	Data Card 16	#N/A
521	0209	数据卡１７	データカード１７	Data Card 17	#N/A
522	020A	数据卡１８	データカード１８	Data Card 18	#N/A
523	020B	数据卡１９	データカード１９	Data Card 19	#N/A
524	020C	数据卡２０	データカード２０	Data Card 20	#N/A
525	020D	数据卡２１	データカード２１	Data Card 21	#N/A
526	020E	数据卡２２	データカード２２	Data Card 22	#N/A
527	020F	数据卡２３	データカード２３	Data Card 23	#N/A
528	0210	数据卡２４	データカード２４	Data Card 24	#N/A
529	0211	数据卡２５	データカード２５	Data Card 25	#N/A
530	0212	数据卡２６	データカード２６	Data Card 26	#N/A
531	0213	数据卡２７	データカード２７	Data Card 27	#N/A
532	0214	草绿色宝珠	もえぎいろのたま	Jade Orb	#N/A
533	0215	上锁的容器	ロックカプセル	Lock Capsule	#N/A
534	0216	朱红色宝珠	べにいろのたま	Red Orb	#N/A
535	0217	靛蓝色宝珠	あいいろのたま	Blue Orb	#N/A
536	0218	谜之水晶	なぞのすいしょう	Enigma Stone	#N/A
537	0219	美丽鳞片	きれいなウロコ	Prism Scale	TRUE
538	021A	进化奇石	しんかのきせき	Eviolite	TRUE
539	021B	轻石	かるいし	Float Stone	TRUE
540	021C	凸凸头盔	ゴツゴツメット	Rocky Helmet	TRUE
541	021D	气球	ふうせん	Air Balloon	TRUE
542	021E	红牌	レッドカード	Red Card	TRUE
543	021F	标靶	ねらいのまと	Ring Target	TRUE
544	0220	紧绑束带	しめつけバンド	Binding Band	TRUE
545	0221	球根	きゅうこん	Absorb Bulb	TRUE
546	0222	充电电池	じゅうでんち	Cell Battery	TRUE
547	0223	逃脱按键	だっしゅつボタン	Eject Button	TRUE
548	0224	火之宝石	ほのおのジュエル	Fire Gem	#N/A
549	0225	水之宝石	みずのジュエル	Water Gem	#N/A
550	0226	电之宝石	でんきのジュエル	Electric Gem	#N/A
551	0227	草之宝石	くさのジュエル	Grass Gem	#N/A
552	0228	冰之宝石	こおりのジュエル	Ice Gem	#N/A
553	0229	格斗宝石	かくとうジュエル	Fighting Gem	#N/A
554	022A	毒之宝石	どくのジュエル	Poison Gem	#N/A
555	022B	地面宝石	じめんのジュエル	Ground Gem	#N/A
556	022C	飞行宝石	ひこうのジュエル	Flying Gem	#N/A
557	022D	超能力宝石	エスパージュエル	Psychic Gem	#N/A
558	022E	虫之宝石	むしのジュエル	Bug Gem	#N/A
559	022F	岩石宝石	いわのジュエル	Rock Gem	#N/A
560	0230	幽灵宝石	ゴーストジュエル	Ghost Gem	#N/A
561	0231	龙之宝石	ドラゴンジュエル	Dragon Gem	#N/A
562	0232	恶之宝石	あくのジュエル	Dark Gem	#N/A
563	0233	钢之宝石	はがねのジュエル	Steel Gem	#N/A
564	0234	一般宝石	ノーマルジュエル	Normal Gem	TRUE
565	0235	体力之羽	たいりょくのハネ	Health Feather	TRUE
566	0236	肌力之羽	きんりょくのハネ	Muscle Feather	TRUE
567	0237	抵抗之羽	ていこうのハネ	Resist Feather	TRUE
568	0238	智力之羽	ちりょくのハネ	Genius Feather	TRUE
569	0239	精神之羽	せいしんのハネ	Clever Feather	TRUE
570	023A	瞬发之羽	しゅんぱつのハネ	Swift Feather	TRUE
571	023B	美丽之羽	きれいなハネ	Pretty Feather	TRUE
572	023C	背盖化石	ふたのカセキ	Cover Fossil	#N/A
573	023D	羽毛化石	はねのカセキ	Plume Fossil	#N/A
574	023E	自由船票	リバティチケット	Liberty Pass	#N/A
575	023F	释出之玉	デルダマ	Pass Orb	#N/A
576	0240	梦境球	ドリームボール	Dream Ball	TRUE
577	0241	宝可尾草	ポケじゃらし	Poké Toy	#N/A
578	0242	物品箱	グッズケース	Prop Case	#N/A
579	0243	龙之骨	ドラゴンのホネ	Dragon Skull	#N/A
580	0244	芳香蘑菇	かおるキノコ	Balm Mushroom	TRUE
581	0245	巨大金珠	でかいきんのたま	Big Nugget	TRUE
582	0246	丸子珍珠	おだんごしんじゅ	Pearl String	TRUE
583	0247	彗星碎片	すいせいのかけら	Comet Shard	TRUE
584	0248	古代铜币	こだいのどうか	Relic Copper	#N/A
585	0249	古代银币	こだいのぎんか	Relic Silver	#N/A
586	024A	古代金币	こだいのきんか	Relic Gold	#N/A
587	024B	古代之壶	こだいのツボ	Relic Vase	#N/A
588	024C	古代手镯	こだいのうでわ	Relic Band	#N/A
589	024D	古代石像	こだいのせきぞう	Relic Statue	#N/A
590	024E	古代王冠	こだいのおうかん	Relic Crown	#N/A
591	024F	飞云冰淇淋	ヒウンアイス	Casteliacone	#N/A
592	0250	要害攻击２	クリティカット２	Dire Hit 2	#N/A
593	0251	速度强化２	スピーダー２	X Speed 2	#N/A
594	0252	特攻强化２	ＳＰアップ２	X Sp. Atk 2	#N/A
595	0253	特防强化２	ＳＰガード２	X Sp. Def 2	#N/A
596	0254	防御强化２	ディフェンダー２	X Defense 2	#N/A
597	0255	力量强化２	プラスパワー２	X Attack 2	#N/A
598	0256	命中强化２	ヨクアタール２	X Accuracy 2	#N/A
599	0257	速度强化３	スピーダー３	X Speed 3	#N/A
600	0258	特攻强化３	ＳＰアップ３	X Sp. Atk 3	#N/A
601	0259	特防强化３	ＳＰガード３	X Sp. Def 3	#N/A
602	025A	防御强化３	ディフェンダー３	X Defense 3	#N/A
603	025B	力量强化３	プラスパワー３	X Attack 3	#N/A
604	025C	命中强化３	ヨクアタール３	X Accuracy 3	#N/A
605	025D	速度强化６	スピーダー６	X Speed 6	#N/A
606	025E	特攻强化６	ＳＰアップ６	X Sp. Atk 6	#N/A
607	025F	特防强化６	ＳＰガード６	X Sp. Def 6	#N/A
608	0260	防御强化６	ディフェンダー６	X Defense 6	#N/A
609	0261	力量强化６	プラスパワー６	X Attack 6	#N/A
610	0262	命中强化６	ヨクアタール６	X Accuracy 6	#N/A
611	0263	？？？	スキルコール	Ability Urge	#N/A
612	0264	？？？	アイテムドロップ	Item Drop	#N/A
613	0265	？？？	アイテムコール	Item Urge	#N/A
614	0266	？？？	フラットコール	Reset Urge	#N/A
615	0267	要害攻击３	クリティカット３	Dire Hit 3	#N/A
616	0268	光明石	ライトストーン	Light Stone	#N/A
617	0269	黑暗石	ダークストーン	Dark Stone	#N/A
618	026A	招式学习器０９３	わざマシン０９３	TM093	TRUE
619	026B	招式学习器０９４	わざマシン０９４	TM094	TRUE
620	026C	招式学习器０９５	わざマシン０９５	TM095	TRUE
621	026D	即时通讯器	ライブキャスター	Xtransceiver	#N/A
622	026E	神石	ゴッドストーン	???	#N/A
623	026F	配送物品１	はいたつぶつ１	Gram 1	#N/A
624	0270	配送物品２	はいたつぶつ２	Gram 2	#N/A
625	0271	配送物品３	はいたつぶつ３	Gram 3	#N/A
626	0272	即时通讯器	ライブキャスター	Xtransceiver	#N/A
627	0273	奖牌盒	メダルボックス	Medal Box	#N/A
628	0274	基因之楔	いでんしのくさび	DNA Splicers	TRUE
629	0275	基因之楔	いでんしのくさび	DNA Splicers	TRUE
630	0276	许可证	きょかしょう	Permit	#N/A
631	0277	圆形护符	まるいおまもり	Oval Charm	TRUE
632	0278	闪耀护符	ひかるおまもり	Shiny Charm	TRUE
633	0279	等离子卡	プラズマカード	Plasma Card	#N/A
634	027A	脏手帕	よごれたハンカチ	Grubby Hanky	#N/A
635	027B	阿克罗玛机器	アクロママシーン	Colress Machine	#N/A
636	027C	遗忘物	わすれもの	Dropped Item	#N/A
637	027D	遗忘物	わすれもの	Dropped Item	#N/A
638	027E	现形镜	うつしかがみ	Reveal Glass	TRUE
639	027F	弱点保险	じゃくてんほけん	Weakness Policy	TRUE
640	0280	突击背心	とつげきチョッキ	Assault Vest	TRUE
641	0281	全息影像通讯器	ホロキャスター	Holo Caster	#N/A
642	0282	博士的信	はかせのてがみ	Prof’s Letter	#N/A
643	0283	轮滑鞋	ローラースケート	Roller Skates	#N/A
644	0284	妖精石板	せいれいプレート	Pixie Plate	TRUE
645	0285	特性胶囊	とくせいカプセル	Ability Capsule	TRUE
646	0286	泡沫奶油	ホイップポップ	Whipped Dream	#N/A
647	0287	香袋	においぶくろ	Sachet	#N/A
648	0288	光苔	ひかりごけ	Luminous Moss	TRUE
649	0289	雪球	ゆきだま	Snowball	TRUE
650	028A	防尘护目镜	ぼうじんゴーグル	Safety Goggles	TRUE
651	028B	宝可梦之笛	ポケモンのふえ	Poké Flute	#N/A
652	028C	硕果肥	たわわこやし	Rich Mulch	#N/A
653	028D	吃惊肥	びっくりこやし	Surprise Mulch	#N/A
654	028E	劲劲肥	ぐんぐんこやし	Boost Mulch	#N/A
655	028F	超效肥	とんでもこやし	Amaze Mulch	#N/A
656	0290	耿鬼进化石	ゲンガナイト	Gengarite	#N/A
657	0291	沙奈朵进化石	サーナイトナイト	Gardevoirite	#N/A
658	0292	电龙进化石	デンリュウナイト	Ampharosite	#N/A
659	0293	妙蛙花进化石	フシギバナイト	Venusaurite	#N/A
660	0294	喷火龙进化石Ｘ	リザードナイトＸ	Charizardite X	#N/A
661	0295	水箭龟进化石	カメックスナイト	Blastoisinite	#N/A
662	0296	超梦进化石Ｘ	ミュウツナイトＸ	Mewtwonite X	#N/A
663	0297	超梦进化石Ｙ	ミュウツナイトＹ	Mewtwonite Y	#N/A
664	0298	火焰鸡进化石	バシャーモナイト	Blazikenite	#N/A
665	0299	恰雷姆进化石	チャーレムナイト	Medichamite	#N/A
666	029A	黑鲁加进化石	ヘルガナイト	Houndoominite	#N/A
667	029B	波士可多拉进化石	ボスゴドラナイト	Aggronite	#N/A
668	029C	诅咒娃娃进化石	ジュペッタナイト	Banettite	#N/A
669	029D	班基拉斯进化石	バンギラスナイト	Tyranitarite	#N/A
670	029E	巨钳螳螂进化石	ハッサムナイト	Scizorite	#N/A
671	029F	凯罗斯进化石	カイロスナイト	Pinsirite	#N/A
672	02A0	化石翼龙进化石	プテラナイト	Aerodactylite	#N/A
673	02A1	路卡利欧进化石	ルカリオナイト	Lucarionite	#N/A
674	02A2	暴雪王进化石	ユキノオナイト	Abomasite	#N/A
675	02A3	袋兽进化石	ガルーラナイト	Kangaskhanite	#N/A
676	02A4	暴鲤龙进化石	ギャラドスナイト	Gyaradosite	#N/A
677	02A5	阿勃梭鲁进化石	アブソルナイト	Absolite	#N/A
678	02A6	喷火龙进化石Ｙ	リザードナイトＹ	Charizardite Y	#N/A
679	02A7	胡地进化石	フーディナイト	Alakazite	#N/A
680	02A8	赫拉克罗斯进化石	ヘラクロスナイト	Heracronite	#N/A
681	02A9	大嘴娃进化石	クチートナイト	Mawilite	#N/A
682	02AA	雷电兽进化石	ライボルトナイト	Manectite	#N/A
683	02AB	烈咬陆鲨进化石	ガブリアスナイト	Garchompite	#N/A
684	02AC	拉帝亚斯进化石	ラティアスナイト	Latiasite	#N/A
685	02AD	拉帝欧斯进化石	ラティオスナイト	Latiosite	#N/A
686	02AE	洛玫果	ロゼルのみ	Roseli Berry	TRUE
687	02AF	亚开果	アッキのみ	Kee Berry	TRUE
688	02B0	香罗果	タラプのみ	Maranga Berry	TRUE
689	02B1	莲叶童子喷壶	ハスボーじょうろ	Sprinklotad	#N/A
690	02B2	招式学习器０９６	わざマシン０９６	TM096	TRUE
691	02B3	招式学习器０９７	わざマシン０９７	TM097	TRUE
692	02B4	招式学习器０９８	わざマシン０９８	TM098	TRUE
693	02B5	招式学习器０９９	わざマシン０９９	TM099	TRUE
694	02B6	招式学习器１００	わざマシン１００	TM100	#N/A
695	02B7	发电厂通行证	はつでんしょパス	Power Plant Pass	#N/A
696	02B8	超级环	メガリング	Mega Ring	#N/A
697	02B9	似珍石	すごそうないし	Intriguing Stone	#N/A
698	02BA	常见石	ありふれたいし	Common Stone	#N/A
699	02BB	折价券	バーゲンチケット	Discount Coupon	#N/A
700	02BC	电梯钥匙	エレベータのキー	Elevator Key	#N/A
701	02BD	ＴＭＶ自由票	ＴＭＶパス	TMV Pass	#N/A
702	02BE	卡洛斯勋章	カロスエンブレム	Honor of Kalos	#N/A
703	02BF	探险心得	たんけんこころえ	Adventure Guide	TRUE
704	02C0	神秘摆设	ふしぎなおきもの	Strange Souvenir	#N/A
705	02C1	隐形眼镜盒	レンズケース	Lens Case	#N/A
706	02C2	化妆包	コスメポーチ	Makeup Bag	#N/A
707	02C3	衣物箱	いしょうトランク	Travel Trunk	#N/A
708	02C4	密阿雷格雷派饼	ミアレガレット	Lumiose Galette	TRUE
709	02C5	娑罗沙布蕾	シャラサブレ	Shalour Sable	TRUE
710	02C6	颚之化石	アゴのカセキ	Jaw Fossil	#N/A
711	02C7	鳍之化石	ヒレのカセキ	Sail Fossil	#N/A
712	02C8	帅哥券	ハンサムチケット	Looker Ticket	#N/A
713	02C9	自行车	じてんしゃ	Bike	#N/A
714	02CA	全息影像通讯器	ホロキャスター	Holo Caster	#N/A
715	02CB	妖精宝石	ようせいジュエル	Fairy Gem	#N/A
716	02CC	超级坠饰	メガチャーム	Mega Charm	#N/A
717	02CD	超级手套	メガグローブ	Mega Glove	#N/A
718	02CE	音速自行车	マッハじてんしゃ	Mach Bike	#N/A
719	02CF	越野自行车	ダートじてんしゃ	Acro Bike	#N/A
720	02D0	吼吼鲸喷壶	ホエルコじょうろ	Wailmer Pail	#N/A
721	02D1	得文的物品	デボンのにもつ	Devon Parts	#N/A
722	02D2	集灰袋	はいぶくろ	Soot Sack	#N/A
723	02D3	地下钥匙	ちかのカギ	Basement Key	#N/A
724	02D4	宝可方块套装	ポロックキット	Pokéblock Kit	#N/A
725	02D5	给大吾的信	ダイゴへのてがみ	Letter	#N/A
726	02D6	无限船票	むげんのチケット	Eon Ticket	#N/A
727	02D7	探测器	たんちき	Scanner	#N/A
728	02D8	ＧＯＧＯ护目镜	ゴーゴーゴーグル	Go-Goggles	#N/A
729	02D9	陨石	いんせき	Meteorite	#N/A
730	02DA	１号客房的钥匙	１ごうしつのカギ	Key to Room 1	#N/A
731	02DB	２号客房的钥匙	２ごうしつのカギ	Key to Room 2	#N/A
732	02DC	４号客房的钥匙	４ごうしつのカギ	Key to Room 4	#N/A
733	02DD	６号客房的钥匙	６ごうしつのカギ	Key to Room 6	#N/A
734	02DE	仓库钥匙	そうこのカギ	Storage Key	#N/A
735	02DF	得文侦测镜	デボンスコープ	Devon Scope	#N/A
736	02E0	船票	ふねのチケット	S.S. Ticket	#N/A
737	02E1	秘传学习器０７	ひでんマシン０７	HM07	#N/A
738	02E2	得文潜水装备	デボンボンベ	Devon Scuba Gear	#N/A
739	02E3	演出礼服	ライブスーツ	Contest Costume	#N/A
740	02E4	演出礼裙	ライブドレス	Contest Costume	#N/A
741	02E5	熔岩装	マグマスーツ	Magma Suit	#N/A
742	02E6	海洋装	アクアスーツ	Aqua Suit	#N/A
743	02E7	双人票	ペアチケット	Pair of Tickets	#N/A
744	02E8	超级手镯	メガバングル	Mega Bracelet	#N/A
745	02E9	超级吊坠	メガペンダント	Mega Pendant	#N/A
746	02EA	超级眼镜	メガメガネ	Mega Glasses	#N/A
747	02EB	超级船锚	メガイカリ	Mega Anchor	#N/A
748	02EC	超级领针	メガラペルピン	Mega Stickpin	#N/A
749	02ED	超级头冠	メガティアラ	Mega Tiara	#N/A
750	02EE	超级脚镯	メガアンクレット	Mega Anklet	#N/A
751	02EF	陨石	いんせき	Meteorite	#N/A
752	02F0	巨沼怪进化石	ラグラージナイト	Swampertite	#N/A
753	02F1	蜥蜴王进化石	ジュカインナイト	Sceptilite	#N/A
754	02F2	勾魂眼进化石	ヤミラミナイト	Sablenite	#N/A
755	02F3	七夕青鸟进化石	チルタリスナイト	Altarianite	#N/A
756	02F4	艾路雷朵进化石	エルレイドナイト	Galladite	#N/A
757	02F5	差不多娃娃进化石	タブンネナイト	Audinite	#N/A
758	02F6	巨金怪进化石	メタグロスナイト	Metagrossite	#N/A
759	02F7	巨牙鲨进化石	サメハダナイト	Sharpedonite	#N/A
760	02F8	呆壳兽进化石	ヤドランナイト	Slowbronite	#N/A
761	02F9	大钢蛇进化石	ハガネールナイト	Steelixite	#N/A
762	02FA	大比鸟进化石	ピジョットナイト	Pidgeotite	#N/A
763	02FB	冰鬼护进化石	オニゴーリナイト	Glalitite	#N/A
764	02FC	蒂安希进化石	ディアンシナイト	Diancite	#N/A
765	02FD	惩戒之壶	いましめのツボ	Prison Bottle	TRUE
766	02FE	超级护腕	メガブレス	Mega Cuff	#N/A
767	02FF	喷火驼进化石	バクーダナイト	Cameruptite	#N/A
768	0300	长耳兔进化石	ミミロップナイト	Lopunnite	#N/A
769	0301	暴飞龙进化石	ボーマンダナイト	Salamencite	#N/A
770	0302	大针蜂进化石	スピアナイト	Beedrillite	#N/A
771	0303	陨石	いんせき	Meteorite	#N/A
772	0304	陨石	いんせき	Meteorite	#N/A
773	0305	钥石	キーストーン	Key Stone	#N/A
774	0306	陨石碎片	いんせきのかけら	Meteorite Shard	#N/A
775	0307	无限之笛	むげんのふえ	Eon Flute	#N/A
776	0308	一般Ｚ	ノーマルＺ	Normalium Z	#N/A
777	0309	火Ｚ	ホノオＺ	Firium Z	#N/A
778	030A	水Ｚ	ミズＺ	Waterium Z	#N/A
779	030B	电Ｚ	デンキＺ	Electrium Z	#N/A
780	030C	草Ｚ	クサＺ	Grassium Z	#N/A
781	030D	冰Ｚ	コオリＺ	Icium Z	#N/A
782	030E	格斗Ｚ	カクトウＺ	Fightinium Z	#N/A
783	030F	毒Ｚ	ドクＺ	Poisonium Z	#N/A
784	0310	地面Ｚ	ジメンＺ	Groundium Z	#N/A
785	0311	飞行Ｚ	ヒコウＺ	Flyinium Z	#N/A
786	0312	超能力Ｚ	エスパーＺ	Psychium Z	#N/A
787	0313	虫Ｚ	ムシＺ	Buginium Z	#N/A
788	0314	岩石Ｚ	イワＺ	Rockium Z	#N/A
789	0315	幽灵Ｚ	ゴーストＺ	Ghostium Z	#N/A
790	0316	龙Ｚ	ドラゴンＺ	Dragonium Z	#N/A
791	0317	恶Ｚ	アクＺ	Darkinium Z	#N/A
792	0318	钢Ｚ	ハガネＺ	Steelium Z	#N/A
793	0319	妖精Ｚ	フェアリーＺ	Fairium Z	#N/A
794	031A	皮卡丘Ｚ	ピカチュウＺ	Pikanium Z	#N/A
795	031B	银色王冠	ぎんのおうかん	Bottle Cap	TRUE
796	031C	金色王冠	きんのおうかん	Gold Bottle Cap	TRUE
797	031D	Ｚ手环	Ｚリング	Z-Ring	#N/A
798	031E	狙射树枭Ｚ	ジュナイパーＺ	Decidium Z	#N/A
799	031F	炽焰咆哮虎Ｚ	ガオガエンＺ	Incinium Z	#N/A
800	0320	西狮海壬Ｚ	アシレーヌＺ	Primarium Z	#N/A
801	0321	卡璞Ｚ	カプＺ	Tapunium Z	#N/A
802	0322	玛夏多Ｚ	マーシャドーＺ	Marshadium Z	#N/A
803	0323	阿罗雷Ｚ	アロライＺ	Aloraichium Z	#N/A
804	0324	卡比兽Ｚ	カビゴンＺ	Snorlium Z	#N/A
805	0325	伊布Ｚ	イーブイＺ	Eevium Z	#N/A
806	0326	梦幻Ｚ	ミュウＺ	Mewnium Z	#N/A
807	0327	一般Ｚ	ノーマルＺ	Normalium Z	#N/A
808	0328	火Ｚ	ホノオＺ	Firium Z	#N/A
809	0329	水Ｚ	ミズＺ	Waterium Z	#N/A
810	032A	电Ｚ	デンキＺ	Electrium Z	#N/A
811	032B	草Ｚ	クサＺ	Grassium Z	#N/A
812	032C	冰Ｚ	コオリＺ	Icium Z	#N/A
813	032D	格斗Ｚ	カクトウＺ	Fightinium Z	#N/A
814	032E	毒Ｚ	ドクＺ	Poisonium Z	#N/A
815	032F	地面Ｚ	ジメンＺ	Groundium Z	#N/A
816	0330	飞行Ｚ	ヒコウＺ	Flyinium Z	#N/A
817	0331	超能力Ｚ	エスパーＺ	Psychium Z	#N/A
818	0332	虫Ｚ	ムシＺ	Buginium Z	#N/A
819	0333	岩石Ｚ	イワＺ	Rockium Z	#N/A
820	0334	幽灵Ｚ	ゴーストＺ	Ghostium Z	#N/A
821	0335	龙Ｚ	ドラゴンＺ	Dragonium Z	#N/A
822	0336	恶Ｚ	アクＺ	Darkinium Z	#N/A
823	0337	钢Ｚ	ハガネＺ	Steelium Z	#N/A
824	0338	妖精Ｚ	フェアリーＺ	Fairium Z	#N/A
825	0339	皮卡丘Ｚ	ピカチュウＺ	Pikanium Z	#N/A
826	033A	狙射树枭Ｚ	ジュナイパーＺ	Decidium Z	#N/A
827	033B	炽焰咆哮虎Ｚ	ガオガエンＺ	Incinium Z	#N/A
828	033C	西狮海壬Ｚ	アシレーヌＺ	Primarium Z	#N/A
829	033D	卡璞Ｚ	カプＺ	Tapunium Z	#N/A
830	033E	玛夏多Ｚ	マーシャドーＺ	Marshadium Z	#N/A
831	033F	阿罗雷Ｚ	アロライＺ	Aloraichium Z	#N/A
832	0340	卡比兽Ｚ	カビゴンＺ	Snorlium Z	#N/A
833	0341	伊布Ｚ	イーブイＺ	Eevium Z	#N/A
834	0342	梦幻Ｚ	ミュウＺ	Mewnium Z	#N/A
835	0343	智皮卡Ｚ	サトピカＺ	Pikashunium Z	#N/A
836	0344	智皮卡Ｚ	サトピカＺ	Pikashunium Z	#N/A
837	0345	？？？	？？？	???	#N/A
838	0346	？？？	？？？	???	#N/A
839	0347	？？？	？？？	???	#N/A
840	0348	？？？	？？？	???	#N/A
841	0349	材料袋	ざいりょうぶくろ	Forage Bag	#N/A
842	034A	钓竿	つりざお	Fishing Rod	#N/A
843	034B	博士的面罩	はかせのふくめん	Professor’s Mask	#N/A
844	034C	圆庆票	フェスチケット	Festival Ticket	#N/A
845	034D	光辉石	かがやくいし	Sparkling Stone	#N/A
846	034E	胆怯球	ビビリだま	Adrenaline Orb	TRUE
847	034F	基格尔德多面体	ジガルデキューブ	Zygarde Cube	#N/A
848	0350	？？？	？？？	???	#N/A
849	0351	冰之石	こおりのいし	Ice Stone	TRUE
850	0352	骑行装置	ライドギア	Ride Pager	#N/A
851	0353	究极球	ウルトラボール	Beast Ball	TRUE
852	0354	大马拉萨达	おおきいマラサダ	Big Malasada	#N/A
853	0355	朱红色花蜜	くれないのミツ	Red Nectar	TRUE
854	0356	金黄色花蜜	やまぶきのミツ	Yellow Nectar	TRUE
855	0357	桃粉色花蜜	うすもものミツ	Pink Nectar	TRUE
856	0358	兰紫色花蜜	むらさきのミツ	Purple Nectar	TRUE
857	0359	太阳之笛	たいようのふえ	Sun Flute	#N/A
858	035A	月亮之笛	つきのふえ	Moon Flute	#N/A
859	035B	？？？	？？？	???	#N/A
860	035C	奇异卡片	あやしいカード	Enigmatic Card	#N/A
861	035D	银色蔓莓果	ぎんのズリのみ	Silver Razz Berry	#N/A
862	035E	金色蔓莓果	きんのズリのみ	Golden Razz Berry	#N/A
863	035F	银色蕉香果	ぎんのナナのみ	Silver Nanab Berry	#N/A
