图鉴序号	名称	中文	日文
974	Cetoddle	走鲸	アルクジラ
975	Cetitan	浩大鲸	ハルクジラ
976	Veluza	轻身鳕	ミガルーサ
977	Dondozo	吃吼霸	ヘイラッシャ
978	Tatsugiri	米立龙	シャリタツ
979	Annihilape	弃世猴	コノヨザル
980	Clodsire	土王	ドオー
981	Farigiraf	奇麒麟	リキキリン
982	Dudunsparce	土龙节节	ノココッチ
983	Kingambit	仆刀将军	ドドゲザン
984	Great Tusk	雄伟牙	イダイナキバ
985	Scream Tail	吼叫尾	サケブシッポ
986	Brute Bonnet	猛恶菇	アラブルタケ
987	Flutter Mane	振翼发	ハバタクカミ
988	Slither Wing	爬地翅	チヲハウハネ
989	Sandy Shocks	沙铁皮	スナノケガワ
990	Iron Treads	铁辙迹	テツノウダチ
991	Iron Bundle	铁包袱	テツノツツミ
992	Iron Hands	铁臂膀	テツノカイナ
993	Iron Jugulis	铁脖颈	テツノコウベ
994	Iron Moth	铁毒蛾	テツノドクが
995	Iron Thorns	铁荆棘	テツノイバラ
996	Frigibax	凉脊龙	セビエ
997	Arctibax	冻脊龙	セゴール
998	Baxcalibur	戟脊龙	セグレイブ
999	Gimmighoul	索财灵	コレクレー
1000	Gholdengo	赛富豪	サーフゴー
1001	Wo-Chien	古简蜗	チオンジェン
1002	Chien-Pao	古剑豹	パオジアン
1003	Ting-Lu	古鼎鹿	ディンルー
1004	Chi-Yu	古玉鱼	イーユイ
1005	Roaring Moon	轰鸣月	トドロクツキ
1006	Iron Valiant	铁武者	テツノブジン
1007	Koraidon	故勒顿	コライドン
1008	Miraidon	密勒顿	ミライドン
1009	Walking Wake	波荡水	ウネルミナモ
1010	Iron Leaves	铁斑叶	テツノイサハ
1011	Ogerpon	厄诡椪	オーガポン
1012	Dipplin	裹蜜虫	カミッチュ
1013	Hydrapple	蜜集大蛇	カミツオロチ
1014	Okidogi	够赞狗	イイネイヌ
1015	Munkidori	愿增猿	マシマシラ
1016	Fezandipiti	吉雉鸡	キチキギス
1017	Gouging Fire	破空焰	ウガツホムラ
1018	Raging Bolt	猛雷鼓	タケルライコ
1019	Iron Crown	铁头壳	テツノカシラ
1020	Iron Boulder	铁磐岩	テツノイワオ
1021	Terapagos	太乐巴戈斯	テラパゴス
1022	Pecharunt	桃歹郎	モモワロウ
1023	Archaludon	铝钢桥龙	ブリジュラス
1024	Poltchageist	斯魔茶	チャデス
1025	Sinistcha	来悲粗茶	ヤバソチャ
